filename,title,date,age_years,status,priority_score,technologies_str,deprecated_services_str,deprecated_versions_str,reasoning,recommended_action
2015-12-11-use-custom-context-for-azure-tomcat-application.md, Use custom context for Azure Tomcat application,2015-12-11,9.7,outdated,12,how-to; azure webapps; java configuration; configuration; azure app service on windows; custom deploy; git; docker; custom context; java; tomcat,,java 7,"Post is 9.7 years old, likely contains outdated information; References deprecated technology versions: java 7",HIGH: Archive or completely rewrite
2015-12-11-configure-log4j-along-with-log-rotation-on-tomcat-web-app-in-azure-app-service.md, Configure log4j along with log rotation on Tomcat Web App in Azure App Service,2015-12-11,9.7,outdated,12,how-to; java configuration; azure webapp java log4j; configuration; azure log4j; azure app service on windows; tomcat webapp; azure log rotation webapp; log4j tomcat webapp; java; tomcat,,java 8,"Post is 9.7 years old, likely contains outdated information; References deprecated technology versions: java 8",HIGH: Archive or completely rewrite
2015-12-07-php-imagemagick-on-azure-web-apps.md, PHP ImageMagick on Azure Web Apps,2015-12-07,9.7,outdated,12,how-to; extension; configuration; app service; dotnet; azure web app; azure app service on windows; azure webapp; imagemagick; php,,php 5.; php 7.0,"Post is 9.7 years old, likely contains outdated information; References deprecated technology versions: php 5., php 7.0",HIGH: Archive or completely rewrite
2015-12-03-azure-web-app-with-angularjs-and-nodejs-apps-on-same-instance.md,Azure Web App with AngularJs and NodeJs Apps on Same Instance,2015-12-03,9.8,outdated,12,how-to; configuration; web.config; azure app service on windows; angularjs; waws; nodejs; web apps,,,"Post is 9.8 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-11-28-creating-an-angularjs-single-page-application-with-routes-on-azure-webapps.md, Creating an AngularJS Single Page Application with routes on Azure WebApps,2015-11-28,9.8,outdated,12,how-to; configuration; azure app service on windows; angularjs; waws,,,"Post is 9.8 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-10-22-using-gulp-in-node-js-azure-webapps.md,Using Gulp in Node.js Azure WebApps,2015-10-22,9.9,outdated,12,how-to; azure app service on windows; webapp; gulp; azure; nodejs,,,"Post is 9.9 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-10-14-wordpress-error-establishing-a-database-connection.md, WordPress: Error establishing a database connection,2015-10-14,9.9,outdated,12,php error log azure webapps; wordpress; php wordpress; cleardb troubleshooting; webapp; cleardb; azure app service on windows; debugging; php error log; mysql; php,,php 5.,"Post is 9.9 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2015-10-09-setting-environment-variable-and-accessing-it-in-java-program-on-azure-webapp.md, Setting environment variable and accessing it in Java program on Azure webapp,2015-10-09,9.9,outdated,12,how-to; java configuration; configuration; app setting; azure web app; azure app service on windows; environment variable; java; tomcat,,,"Post is 9.9 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-10-09-logging-php-errors-in-wordpress-2.md, Enable WordPress Error Logs,2015-10-09,9.9,outdated,12,azure app service web app; wordpress; dotnet; azure app service on windows; local cache; debugging; phpinfo; php troubleshooting; timezone; php; error-logs,,php 5.,"Post is 9.9 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2015-09-28-convert-apache-htaccess-to-iis-web-config.md, Convert Apache .htaccess to IIS Web.Config,2015-09-28,9.9,outdated,12,how-to; configuration; dotnet; web.config; azure web app; azure app service on windows; apache; rewrite rules; php,,,"Post is 9.9 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-07-19-using-wildfly-swarm-on-azure-app-service.md, Using wildfly-swarm on Azure App Service,2016-07-19,9.1,outdated,12,how-to; azure app service web app; java configuration; azure app service on windows; java; docker,,,"Post is 9.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-07-12-wordpress-redirecting-to-wrong-url.md, WordPress: Redirecting to wrong URL!!,2016-07-12,9.1,outdated,12,how-to; url; redirection; custom domain; wordpress; azure app service web app; configuration; dotnet; redirect; php,,,"Post is 9.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-06-29-uploading-images-to-azure-storage-from-angularjs-app.md,Uploading Images to Azure Storage from AngularJS App,2016-06-29,9.2,outdated,12,how-to; python; dotnet; angularjs; cors; nodejs; azure storage; docker,,,"Post is 9.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-06-23-wordpress-multisite-404-on-admin-dashboard.md,WordPress MultiSite 404 on Admin Dashboard,2016-06-23,9.2,outdated,12,wordpress; azure app service on windows; php wordpress; debugging; php,,,"Post is 9.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-06-15-uploading-large-files-to-azure-web-apps.md,Uploading Large Files to Azure Web Apps,2016-06-15,9.2,outdated,12,how-to; joomla; wordpress; configuration; dotnet; azure app service on windows; debugging; java; php,,java 8,"Post is 9.2 years old, likely contains outdated information; References deprecated technology versions: java 8",HIGH: Archive or completely rewrite
2016-06-15-media-files-http-404-azure-web-apps.md, Media Files - HTTP 404 - Azure App Service on Windows,2016-06-15,9.2,outdated,12,joomla; php; configuration; azure app service on windows,,,"Post is 9.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-06-06-use-mysql-server-on-an-azure-vm.md, Use MySQL server on an Azure VM,2016-06-06,9.2,outdated,12,how-to; azure vm; php; mysql,,,"Post is 9.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-05-16-joomla-mail-settings.md," ""Test mail could not be sent."" or ""Could not instantiate mail function"" in Joomla Mail Settings sending a test mail.		",2016-05-16,9.3,outdated,12,joomla; azure app service on windows; debugging; smtp; php,,,"Post is 9.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-05-04-azure-webapps-java-configurator-site-extension.md, Azure Webapps - Java configurator site extension,2016-05-04,9.3,outdated,12,azure app service web app; java configuration; configuration; app service; dotnet; azure app service on windows; java,,,"Post is 9.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-04-25-migrating-mysql-database-from-os-disk-to-data-disk-on-azure-linux-vm.md, Migrating MySQL database from OS disk to Data disk on Azure Linux VM,2016-04-25,9.4,outdated,12,how-to; mysql linux migration data; performance; azure vm; mysql; mysql os disk data disk azure linux,,,"Post is 9.4 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-04-20-nodejs-and-npm-versions-on-azure-app-services.md, NodeJs and NPM versions on Azure App Services,2016-04-20,9.4,outdated,12,how-to; npm; dotnet; azure app service on windows; iisnode; nodejs,,nodejs 4.; nodejs 6.; java 8,"Post is 9.4 years old, likely contains outdated information; References deprecated technology versions: nodejs 4., nodejs 6., java 8",HIGH: Archive or completely rewrite
2016-04-18-sample-nodejs-app-on-azure-app-services.md, Sample Nodejs App on Azure App services,2016-04-18,9.4,outdated,12,how-to; test-app; dotnet; azure app service on windows; nodejs,,,"Post is 9.4 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-03-25-azure-sdk-for-php-updating-blob-properties.md, Azure SDK for PHP: Updating Blob Properties,2016-03-25,9.4,outdated,12,how-to; properties php troubleshooting; blob; blob storage; cache; options; azure sdk; php; docker,,,"Post is 9.4 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-03-02-migrating-data-between-mysql-databases-using-kudu-console-azure-app-service.md,Migrating data between MySQL databases using kudu console – Azure App Service,2016-03-02,9.5,outdated,12,how-to; cleardb upgrade; dotnet; mysql migrate; azure web app; azure app service on windows; azure webapp; cleardb; database migration; mysql,,,"Post is 9.5 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-02-29-how-to-upgrade-cleardb-database-for-azure-app-service.md, How to upgrade ClearDB database for Azure App Service - Deprecated,2016-02-29,9.5,outdated,12,mysql upgrade; cleardb upgrade; azure web app; azure webapp; cleardb; mysql; php,,,"Post is 9.5 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-02-23-access-oracle-databases-from-azure-web-apps-using-oci8-drivers-with-php.md,Access Oracle Databases from Azure Web Apps using OCI8 drivers with PHP,2016-02-23,9.5,outdated,12,how-to; azure webapp oracle; php oracle webapp; dotnet; azure app service on windows; azure php oracle web app; oracle webapp; php,,php 5.,"Post is 9.5 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2017-04-20-an-example-of-setting-wordpress-email-with-office-365-smtp.md, An Example of Setting WordPress Email with Office 365 SMTP,2017-04-20,8.4,outdated,12,mail; how-to; wordpress; azure app service web app; smtp; php,,,"Post is 8.4 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2017-03-27-send-mail-on-app-service-using-php-mailer-and-o365.md, Send email on App Service using Office 365 (O365),2017-03-27,8.4,outdated,12,mail; how-to; azure app service web app; office; php; java,,php 5.,"Post is 8.4 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2017-03-07-increase-import-max-file-size-for-phpmyadmin-azure-app-service.md,Increase Import Max File Size for PHPMyAdmin - Azure App Service on Windows,2017-03-07,8.5,outdated,12,azure app service web app; configuration; dotnet; azure app service on windows; phpmyadmin; mysql; php,,,"Post is 8.5 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2017-03-03-how-to-enable-php-ldap-in-azure-web-apps.md,How to enable PHP LDAP in Azure Web Apps,2017-03-03,8.5,outdated,12,how-to; dotnet; azure app service on windows; ldap; php,,php 5.,"Post is 8.5 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2017-01-09-steps-to-enable-xdebug-for-php-profiling.md, Steps to Enable Xdebug for PHP Profiling,2017-01-09,8.7,outdated,12,how-to; dotnet; xdebug; azure app service on windows; debugging; php,Web Sites,php 5.,"Post is 8.7 years old, likely contains outdated information; References deprecated Azure services: Web Sites; References deprecated technology versions: php 5.",CRITICAL: Update deprecated service references
2016-12-28-install-ioncube-loader-extension-for-php-site-on-azure-app.md,Install ionCube Loader extension for PHP site on Azure App,2016-12-28,8.7,outdated,12,how-to; php; azure app service on windows,,php 5.,"Post is 8.7 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2016-12-26-best-practices-for-wordpress-security-on-azure.md, Best Practices for WordPress Security on Azure,2016-12-26,8.7,outdated,12,wordpress; site; dotnet; azure app service; security; hacked; best practices; hack; azure; best practice; php,Web Sites,,"Post is 8.7 years old, likely contains outdated information; References deprecated Azure services: Web Sites",CRITICAL: Update deprecated service references
2016-12-09-running-python-webjob-on-azure-app-services-using-non-default-python-version.md, Running Python Webjob on Azure App Services using non-default python version,2016-12-09,8.7,outdated,12,python; python-wheel; pip; azure app service on windows; webjob; php,,python 3.5,"Post is 8.7 years old, likely contains outdated information; References deprecated technology versions: python 3.5",HIGH: Archive or completely rewrite
2016-12-09-mysql-in-app-configuration-for-php-content-management-systems.md, MySQL In-App Configuration for PHP Content Management Systems,2016-12-09,8.7,outdated,12,mysql in-app; wordpress; joomla; configuration; cms; credentials; azure app service on windows; mysql in app; database; azure; drupal; php,,,"Post is 8.7 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-09-28-how-to-identifyreview-errors-on-php-applications-in-azure-web-apps-using-log-stream-service.md, How to identify/review PHP errors on Azure Web Apps using Log Stream service,2016-09-28,8.9,outdated,12,logstream; azure app service web app; dotnet; debugging; php; error-logs,,,"Post is 8.9 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-08-25-deploying-django-app-to-azure-app-services-using-git-and-new-version-of-python.md, Deploying Django App to Azure App Services using Git and new version of Python,2016-08-25,9.0,outdated,12,python; django; dotnet; azure app service on windows; git; deployment; nodejs,,python 2.7,"Post is 9.0 years old, likely contains outdated information; References deprecated technology versions: python 2.7",HIGH: Archive or completely rewrite
2016-08-24-meteor-1-4-on-azure-app-services.md, Meteor 1.4 App on Azure App Services,2016-08-24,9.0,outdated,12,how-to; meteor; dotnet; azure app service on windows; nodejs,,,"Post is 9.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-08-15-setup-single-sign-on-with-aad-using-simplesamlphp.md, Setup Single Sign On with AAD using SimpleSAMLphp,2016-08-15,9.1,outdated,12,mediawiki; how-to; dotnet; sso; php,,php 5.,"Post is 9.1 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2016-08-15-accessing-storage-blob-using-sas-with-java.md, Accessing storage blob using SAS with Java,2016-08-15,9.1,outdated,12,how-to; sas; java configuration; blob; blob storage; dotnet; java; azure storage; docker,,,"Post is 9.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-08-12-run-npm-bower-composer-gulp-grunt-in-azure-app-services-during-deployment.md," Run NPM, Bower, Composer, Gulp & Grunt In Azure App Services During Deployment",2016-08-12,9.1,outdated,12,npm; bower; grunt; composer; azure app service on windows; gulp; deployment; nodejs; php,,,"Post is 9.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-07-25-query-strings-exceed-1024-characters-using-oauth-2-0ad-with-node-js-azure-web-apps.md," Query strings exceed 1,024 characters using OAuth 2.0/AD with Node.js Azure Web Apps",2016-07-25,9.1,outdated,12,nodejs; configuration; azure app service,,,"Post is 9.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2017-10-27-run-php-webjob-on-azure-app-service-windows.md, Run PHP Webjob on Azure App Service (Windows),2017-10-27,7.9,outdated,12,how-to; azure app service on windows; webjob; php; docker,,php 7.1,"Post is 7.9 years old, likely contains outdated information; References deprecated technology versions: php 7.1",HIGH: Archive or completely rewrite
2017-10-09-setup-smtp-in-drupal-8-on-azure-webapp.md,Setup SMTP in Drupal 8 on Azure Webapp,2017-10-09,7.9,outdated,12,how-to; azure app service on windows; smtp; drupal; php,,,"Post is 7.9 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2017-09-26-debugging-java-containers.md, Debugging Java containers,2017-09-26,7.9,outdated,12,azure app service on linux; debugging; java; docker,,,"Post is 7.9 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2017-09-14-use-jpgrapg-package-with-azure-web-app.md, Use JpGraph library with Azure Web App,2017-09-14,8.0,outdated,12,how-to; dotnet; azure app service on windows; jpgraph; php,,php 7.0,"Post is 8.0 years old, likely contains outdated information; References deprecated technology versions: php 7.0",HIGH: Archive or completely rewrite
2017-09-01-running-flask-app-with-httpplatformhandler-in-azure-app-serviceswindows.md, Running Flask App with HttpPlatformHandler in Azure App Services(Windows),2017-09-01,8.0,outdated,12,python; flask; configuration; azure app service on windows; nodejs,,python 2.7; python 3.5,"Post is 8.0 years old, likely contains outdated information; References deprecated technology versions: python 2.7, python 3.5",HIGH: Archive or completely rewrite
2017-09-01-profile-python-applications-in-azure-app-services.md, Profile Python Applications in Azure App Services,2017-09-01,8.0,outdated,12,python; django; dotnet; debugging; azure app service; flask,,,"Post is 8.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2017-09-01-nodejs-app-performance-tweaks-azure-app-services-windows.md,Nodejs App Performance Tweaks - Azure App Services (Windows),2017-09-01,8.0,outdated,12,nodejs; performance; azure app service on windows,,java 8,"Post is 8.0 years old, likely contains outdated information; References deprecated technology versions: java 8",HIGH: Archive or completely rewrite
