filename,title,author,date,age_years,status,reasoning,technologies_str,deprecated_services_str,deprecated_versions_str,recommendations_str,content_length,has_images,has_code_blocks
2015-06-23-authenticating-azure-resource-management-rest-api-requests-using-java.md,Authenticating Azure Resource Management REST API requests using Java,Srikanth S.,2015-06-23,10.2,outdated,"Post is 10.2 years old, likely contains outdated information",dotnet; how-to; java adal rest api arm; java,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5030,False,True
2015-06-23-web-config-for-zend-framework-project-on-azure-apps.md,web.config for Zend Framework Project on Azure Apps,Yi Wang,2015-06-23,10.2,outdated,"Post is 10.2 years old, likely contains outdated information",configuration; web.config; rewrite rules; zend framework; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1939,True,False
2015-06-28-create-a-new-azure-apiapp-in-python-supporting-swagger-2-0.md,Create a new Azure Apiapp in python supporting swagger 2.0,Prashanth Madi,2015-06-28,10.2,outdated,"Post is 10.2 years old, likely contains outdated information",how-to; python; apiapp; azure app service on windows; flask-restplus; nodejs; flask,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2348,True,True
2015-06-29-install-native-python-modules-on-azure-web-apps-api-apps.md, Install Python Modules on Azure App Services,Prashanth Madi,2015-06-29,10.2,outdated,"Post is 10.2 years old, likely contains outdated information; References deprecated technology versions: python 3.5",how-to; python; apiapp; dotnet; python-wheel; waws; azure; pycrypto; web apps,,python 3.5,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating python 3.5 to 3.12; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4926,True,False
2015-07-01-setup-azure-cdn-on-drupal.md, Setup Azure CDN on Drupal,Yi Wang,2015-07-01,10.2,outdated,"Post is 10.2 years old, likely contains outdated information",configuration; cdn; performance; drupal; php; azure cdn,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1168,True,False
2015-07-14-troubleshoot-logging-python-application-errors-on-azure-webapi-apps.md,Troubleshoot- logging python Application errors on Azure Web/API Apps,Prashanth Madi,2015-07-14,10.1,outdated,"Post is 10.1 years old, likely contains outdated information",python; troubleshoot; apiapp; dotnet; azure app service on windows; waws; debugging; azure; error-logs,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2172,True,False
2015-07-14-use-microsoft-azure-redis-cache-with-drupal.md, Use Microsoft Azure Redis Cache with Drupal 7,Yi Wang,2015-07-14,10.1,outdated,"Post is 10.1 years old, likely contains outdated information",dotnet; redis; drupal redis module; drupal; php; predis; microsoft azure redis cache,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2183,True,False
2015-07-17-migrate-zend-framework-2-project-to-azure-web-app.md, Migrate Zend Framework 2 Project to Azure Web App,Yi Wang,2015-07-17,10.1,outdated,"Post is 10.1 years old, likely contains outdated information; References deprecated technology versions: php 5.",zend framework 2; dotnet; php; azure web app,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1464,True,False
2015-07-20-troubleshooting-phpmyadmin-site-extension.md, Troubleshooting PHPMyAdmin Site Extension,Mangesh Sangapu,2015-07-20,10.1,outdated,"Post is 10.1 years old, likely contains outdated information",php extension; dotnet; azure web app; azure app service on windows; waws; phpmyadmin; mysql; php troubleshooting; php; web apps,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1687,True,False
2015-07-23-migrate-yii-framework-application-to-azure-web-app.md, Migrate Yii Framework Application to Azure Web App,Yi Wang,2015-07-23,10.1,outdated,"Post is 10.1 years old, likely contains outdated information",dotnet; yii framework application; web.config; azure web app; yii; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2022,True,False
2015-08-03-cleardb-mysql-passwords-and-azure-connection-strings.md, ClearDB (MySQL) Passwords and Azure Connection Strings - Deprecated,Mangesh Sangapu,2015-08-03,10.1,outdated,"Post is 10.1 years old, likely contains outdated information",cleardb troubleshooting; cleardb; azure app service web app; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2313,True,False
2015-08-04-debug-django-web-application-in-azure-web-apps.md, Debug Django Web Application in Azure Web Apps,Prashanth Madi,2015-08-04,10.1,outdated,"Post is 10.1 years old, likely contains outdated information",python; troubleshoot; apiapp; django; dotnet; azure app service on windows; waws; debugging; azure; web apps; error-logs,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4383,True,True
2015-08-19-debug-node-js-web-apps-on-azure.md, Debug Node.js Web Apps on Azure,,2015-08-19,10.0,outdated,"Post is 10.0 years old, likely contains outdated information",troubleshoot; dotnet; azure app service on windows; debugging; remote-debug; nodejs; logging-errors; /media,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5752,True,False
2015-08-23-finding-memory-leaks-and-cpu-usage-in-azure-node-js-web-app.md, Finding Memory Leaks and CPU Usage in Azure Node.js Web App,Prashanth Madi,2015-08-23,10.0,outdated,"Post is 10.0 years old, likely contains outdated information",memory-leaks; troubleshoot; profiler; azure app service on windows; waws; debugging; cpu-usage; azure; nodejs,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4789,True,True
2015-09-08-accessing-vm-extensions-like-chef-using-azure-sdk-for-java-programmatically.md, Accessing VM extensions like Chef using Azure sdk for Java programmatically,Prasad K.,2015-09-08,10.0,outdated,"Post is 10.0 years old, likely contains outdated information",how-to; python; java azure sdk chef knife vm extension; dotnet; azure sdk; java,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5077,False,False
2015-09-13-npm3-on-azure-web-apps.md, NPM3 on Azure Web Apps,Prashanth Madi,2015-09-13,10.0,outdated,"Post is 10.0 years old, likely contains outdated information",npm3; npm; nodejs; azure app service on windows,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3080,True,False
2015-09-18-accessing-the-tomcat-manager-console-on-azure-java-webapp.md, Accessing the Tomcat manager console on Azure Java webapp,Prasad K.,2015-09-18,10.0,outdated,"Post is 10.0 years old, likely contains outdated information",how-to; manager; java configuration; configuration; dotnet; apache; webapp; azure app service on windows; azure; java; deploy; tomcat,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2609,True,False
2015-09-18-taking-a-crash-dump-of-nodejava-process-using-the-procdump-on-azure-webapp.md, Taking a crash dump of node/java process using the procdump on Azure WebApp,Prasad K.,2015-09-18,10.0,outdated,"Post is 10.0 years old, likely contains outdated information",crash; node.js; node; java troubleshooting; procdump; dotnet; azure app service on windows; azure webapp; node.exe; debugging; nodejs; java,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2042,True,False
2015-09-18-upload-a-service-certificate-to-azure-vm-using-azure-sdk-java-code.md, Upload a service certificate to Azure VM using Azure SDK Java code,Prasad K.,2015-09-18,10.0,outdated,"Post is 10.0 years old, likely contains outdated information",certificate; virtual machine; .pfx; dotnet; .cer; azure vm; service certificate; azure sdk; java,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,6679,False,False
2015-09-28-convert-apache-htaccess-to-iis-web-config.md, Convert Apache .htaccess to IIS Web.Config,Mangesh Sangapu,2015-09-28,9.9,outdated,"Post is 9.9 years old, likely contains outdated information",how-to; configuration; dotnet; web.config; azure web app; azure app service on windows; apache; rewrite rules; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3324,False,False
2015-10-09-logging-php-errors-in-wordpress-2.md, Enable WordPress Error Logs,Mangesh Sangapu,2015-10-09,9.9,outdated,"Post is 9.9 years old, likely contains outdated information; References deprecated technology versions: php 5.",azure app service web app; wordpress; dotnet; azure app service on windows; local cache; debugging; phpinfo; php troubleshooting; timezone; php; error-logs,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4560,True,False
2015-10-09-setting-environment-variable-and-accessing-it-in-java-program-on-azure-webapp.md, Setting environment variable and accessing it in Java program on Azure webapp,Prasad K.,2015-10-09,9.9,outdated,"Post is 9.9 years old, likely contains outdated information",how-to; java configuration; configuration; app setting; azure web app; azure app service on windows; environment variable; java; tomcat,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1442,True,False
2015-10-14-wordpress-error-establishing-a-database-connection.md, WordPress: Error establishing a database connection,Mangesh Sangapu,2015-10-14,9.9,outdated,"Post is 9.9 years old, likely contains outdated information; References deprecated technology versions: php 5.",php error log azure webapps; wordpress; php wordpress; cleardb troubleshooting; webapp; cleardb; azure app service on windows; debugging; php error log; mysql; php,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2635,True,False
2015-10-22-using-gulp-in-node-js-azure-webapps.md,Using Gulp in Node.js Azure WebApps,Prashanth Madi,2015-10-22,9.9,outdated,"Post is 9.9 years old, likely contains outdated information",how-to; azure app service on windows; webapp; gulp; azure; nodejs,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2715,True,False
2015-11-28-creating-an-angularjs-single-page-application-with-routes-on-azure-webapps.md, Creating an AngularJS Single Page Application with routes on Azure WebApps,Prashanth Madi,2015-11-28,9.8,outdated,"Post is 9.8 years old, likely contains outdated information",how-to; configuration; azure app service on windows; angularjs; waws,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4900,True,True
2015-12-03-azure-web-app-with-angularjs-and-nodejs-apps-on-same-instance.md,Azure Web App with AngularJs and NodeJs Apps on Same Instance,prmadi,2015-12-03,9.8,outdated,"Post is 9.8 years old, likely contains outdated information",how-to; configuration; web.config; azure app service on windows; angularjs; waws; nodejs; web apps,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5294,True,True
2015-12-07-php-imagemagick-on-azure-web-apps.md, PHP ImageMagick on Azure Web Apps,Mangesh Sangapu,2015-12-07,9.7,outdated,"Post is 9.7 years old, likely contains outdated information; References deprecated technology versions: php 5., php 7.0",how-to; extension; configuration; app service; dotnet; azure web app; azure app service on windows; azure webapp; imagemagick; php,,php 5.; php 7.0,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Consider updating php 7.0 to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5417,True,False
2015-12-11-configure-log4j-along-with-log-rotation-on-tomcat-web-app-in-azure-app-service.md, Configure log4j along with log rotation on Tomcat Web App in Azure App Service,Srikanth S.,2015-12-11,9.7,outdated,"Post is 9.7 years old, likely contains outdated information; References deprecated technology versions: java 8",how-to; java configuration; azure webapp java log4j; configuration; azure log4j; azure app service on windows; tomcat webapp; azure log rotation webapp; log4j tomcat webapp; java; tomcat,,java 8,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating java 8 to 21; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4175,False,False
2015-12-11-use-custom-context-for-azure-tomcat-application.md, Use custom context for Azure Tomcat application,Prasad K.,2015-12-11,9.7,outdated,"Post is 9.7 years old, likely contains outdated information; References deprecated technology versions: java 7",how-to; azure webapps; java configuration; configuration; azure app service on windows; custom deploy; git; docker; custom context; java; tomcat,,java 7,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating java 7 to 21; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2704,True,False
2015-12-17-custom-deployment-folder-on-azure-web-apps-with-git.md, Custom deployment folder on Azure Web Apps with Git,Prasad K.,2015-12-17,9.7,outdated,"Post is 9.7 years old, likely contains outdated information",java configuration; azure web app; azure app service on windows; custom deploy; git; deployment; java; deploy,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1374,True,True
2015-12-17-triggering-the-php-process-report-on-azure-web-apps-2.md, Triggering the PHP Process Report on Azure Web Apps,Mangesh Sangapu,2015-12-17,9.7,outdated,"Post is 9.7 years old, likely contains outdated information; References deprecated Azure services: Azure Websites; References deprecated technology versions: php 5.",how-to; wordpress; dotnet; process report; azure web app; azure app service on windows; debugging; php troubleshooting; php; troubleshooting,Azure Websites,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update references from 'Azure Websites' to 'Azure App Service'; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3136,True,False
